email,roles,password,phone,username
manager1@bakery.ru,"ROLE_AFFILIATE_MANAGER",$2y$13$ABC123,79101112233,ivanov_im
manager2@bakery.ru,"ROLE_AFFILIATE_MANAGER",$2y$13$DEF456,79112223344,petrov_ap
manager3@bakery.ru,"ROLE_AFFILIATE_MANAGER",$2y$13$GHI789,79123334455,sidorova_ek
manager4@bakery.ru,"ROLE_AFFILIATE_MANAGER",$2y$13$JKL012,79134445566,smirnov_dv
manager5@bakery.ru,"ROLE_AFFILIATE_MANAGER",$2y$13$MNO345,79145556677,kuznetsova_oa
manager6@bakery.ru,"ROLE_AFFILIATE_MANAGER",$2y$13$PQR678,79156667788,volkov_ss
manager7@bakery.ru,"ROLE_AFFILIATE_MANAGER",$2y$13$STU901,79167778899,kozlov_ai
manager8@bakery.ru,"ROLE_AFFILIATE_MANAGER",$2y$13$VWX234,79178889900,novikova_ep
manager9@bakery.ru,"ROLE_AFFILIATE_MANAGER",$2y$13$YZA567,79189990011,morozov_ds
manager10@bakery.ru,"ROLE_AFFILIATE_MANAGER",$2y$13$BCD890,79190001122,orlova_na
partner1@cafe.ru,"ROLE_PARTNER_REPRESENTATIVE",$2y$13$EFG123,79201112233,utkin_av
partner2@cafe.ru,"ROLE_PARTNER_REPRESENTATIVE",$2y$13$HIJ456,79212223344,belyaeva_iv
partner3@cafe.ru,"ROLE_PARTNER_REPRESENTATIVE",$2y$13$KLM789,79223334455,egorov_pp
partner4@cafe.ru,"ROLE_PARTNER_REPRESENTATIVE",$2y$13$NOP012,79234445566,zhukova_es
partner5@cafe.ru,"ROLE_PARTNER_REPRESENTATIVE",$2y$13$QRS345,79245556677,kiselev_am
partner6@cafe.ru,"ROLE_PARTNER_REPRESENTATIVE",$2y$13$TUV678,79256667788,pavlova_oa
partner7@cafe.ru,"ROLE_PARTNER_REPRESENTATIVE",$2y$13$WXY901,79267778899,vinogradov_dn
partner8@cafe.ru,"ROLE_PARTNER_REPRESENTATIVE",$2y$13$ZAB234,79278889900,fedorova_ek
partner9@cafe.ru,"ROLE_PARTNER_REPRESENTATIVE",$2y$13$CDE567,79289990011,nikitin_sv
partner10@cafe.ru,"ROLE_PARTNER_REPRESENTATIVE",$2y$13$FGH890,79290001122,maslova_aa
supplier1@zerno.ru,"ROLE_SUPPLIER_REPRESENTATIVE",$2y$13$IJK123,79301112233,zaitsev_iv
supplier2@zerno.ru,"ROLE_SUPPLIER_REPRESENTATIVE",$2y$13$LMN456,79312223344,vorobyeva_la
supplier3@zerno.ru,"ROLE_SUPPLIER_REPRESENTATIVE",$2y$13$OPQ789,79323334455,sokolov_ap
supplier4@zerno.ru,"ROLE_SUPPLIER_REPRESENTATIVE",$2y$13$RST012,79334445566,komarova_es
supplier5@zerno.ru,"ROLE_SUPPLIER_REPRESENTATIVE",$2y$13$UVW345,79345556677,lebedeva_oa
user1@mail.ru,"ROLE_USER",$2y$13$XYZ678,79356667788,ivanov_aa
user2@mail.ru,"ROLE_USER",$2y$13$ABC901,79367778899,petrova_iv
user3@mail.ru,"ROLE_USER",$2y$13$DEF234,79378889900,sidorov_dm
user4@mail.ru,"ROLE_USER",$2y$13$GHI567,79389990011,kuznetsova_ea
user5@mail.ru,"ROLE_USER",$2y$13$JKL890,79390001122,volkova_sa
admin@xyz.com,"ROLE_ADMIN",admin,71234567890,test_admin
director@xyz.com,"ROLE_DIRECTOR",director,71234567891,test_director
logist@xyz.com,"ROLE_LOGIST",71234567892,logist,test_logist
productionManager@xyz.com,"ROLE_PRODUCTION_MANAGER",productionManager,71234567893,test_production_manager
